,index,,Multi_Cell_Image_Id,Multi_Cell_Image_Name,Single_Cell_Image_Id,Single_Cell_Image_Name,TableNumber,ImageNumber,Image_FileName_DAPI,Image_PathName_DAPI,Image_FileName_Tubulin,Image_PathName_Tubulin,Image_FileName_Actin,Image_PathName_Actin,Image_Metadata_Plate_DAPI,Image_Metadata_Well_DAPI,Replicate,Image_Metadata_Compound,Image_Metadata_Concentration,moa
98966,188394,188394,1580,Week3_290607_B03_s3_w15E58F01E-A730-4D6C-8694-094346ABD5A8,36,Week3_290607_B03_s3_w15E58F01E-A730-4D6C-8694-094346ABD5A8_36.npy,3,2887,Week3_290607_B03_s3_w15E58F01E-A730-4D6C-8694-094346ABD5A8.tif,Week3_25681,Week3_290607_B03_s3_w2D4628492-04EB-4CD7-99A8-32C5BC3FE194.tif,Week3_25681,Week3_290607_B03_s3_w4AB4D0B09-795F-451E-8C57-71B10B3F7C26.tif,Week3_25681,Week3_25681,B03,1,demecolcine,10.0,Microtubule destabilizers
27482,54257,54257,713,Week1_150607_B04_s2_w1659770A4-821C-453C-8EA4-A640F9CAA1AB,3,Week1_150607_B04_s2_w1659770A4-821C-453C-8EA4-A640F9CAA1AB_3.npy,1,250,Week1_150607_B04_s2_w1659770A4-821C-453C-8EA4-A640F9CAA1AB.tif,Week1_22141,Week1_150607_B04_s2_w25F209DAD-AE89-427A-AB0B-811F4BE75226.tif,Week1_22141,Week1_150607_B04_s2_w43B325113-EC6A-49B2-B524-EDD3A25921C4.tif,Week1_22141,Week1_22141,B04,2,cytochalasin B,10.0,Actin disruptors
79553,158152,158152,1672,Week3_290607_B08_s2_w11068256B-B20B-4AA9-8256-9CD157617EE3,41,Week3_290607_B08_s2_w11068256B-B20B-4AA9-8256-9CD157617EE3_41.npy,3,266,Week3_290607_B08_s2_w11068256B-B20B-4AA9-8256-9CD157617EE3.tif,Week3_25441,Week3_290607_B08_s2_w28B06609F-4269-4DAC-BBBE-B58042581178.tif,Week3_25441,Week3_290607_B08_s2_w4CE1153F1-D43A-4FA5-A159-0001CD1E4050.tif,Week3_25441,Week3_25441,B08,2,vincristine,0.03,Microtubule destabilizers
19174,36609,36609,571,Week10_200907_D05_s3_w1174D2186-DC0A-420B-A19D-FF222D4BE0DE,157,Week10_200907_D05_s3_w1174D2186-DC0A-420B-A19D-FF222D4BE0DE_157.npy,0,575,Week10_200907_D05_s3_w1174D2186-DC0A-420B-A19D-FF222D4BE0DE.tif,Week10_40119,Week10_200907_D05_s3_w2DE2CA995-FBCC-48EE-A8AC-309FC9E74904.tif,Week10_40119,Week10_200907_D05_s3_w47F9869F6-7CB0-434C-91D1-DEE2E49164E4.tif,Week10_40119,Week10_40119,D05,3,AZ-U,3.0,Epithelial
176702,366474,366474,2915,Week7_230707_F02_s3_w1A7097DF4-06DB-4803-9BFA-D3030F59C425,9,Week7_230707_F02_s3_w1A7097DF4-06DB-4803-9BFA-D3030F59C425_9.npy,7,163,Week7_230707_F02_s3_w1A7097DF4-06DB-4803-9BFA-D3030F59C425.tif,Week7_34341,Week7_230707_F02_s3_w2D879A802-D755-4683-81E4-A37003A7F46E.tif,Week7_34341,Week7_230707_F02_s3_w4616AA6C2-12A2-47BE-977E-58B2666988C3.tif,Week7_34341,Week7_34341,F02,1,taxol,0.3,Microtubule stabilizers
128098,246830,246830,159,C08_s1_w1E36BB244-E49F-46E1-B9A1-B13AD397C09B,106,C08_s1_w1E36BB244-E49F-46E1-B9A1-B13AD397C09B_106.npy,4,2945,C08_s1_w1E36BB244-E49F-46E1-B9A1-B13AD397C09B.tif,Week4_27801,C08_s1_w26B400711-AC07-4AD2-816B-3DCBECD234CC.tif,Week4_27801,C08_s1_w4D5E5A61B-E46E-4763-BF8A-8A61A9FEC1B4.tif,Week4_27801,Week4_27801,C08,1,AZ258,0.1,Aurora kinase inhibitors
77687,153488,153488,2105,Week3_290607_F06_s2_w1D197D354-9A07-4BCF-A8EF-CC210BD5D284,164,Week3_290607_F06_s2_w1D197D354-9A07-4BCF-A8EF-CC210BD5D284_164.npy,3,178,Week3_290607_F06_s2_w1D197D354-9A07-4BCF-A8EF-CC210BD5D284.tif,Week3_25421,Week3_290607_F06_s2_w2ECD8D7B5-AAAC-40DB-AB21-5F4BA1BA84DD.tif,Week3_25421,Week3_290607_F06_s2_w44BA555DE-FB62-4BAB-9E74-87EE2EAB2817.tif,Week3_25421,Week3_25421,F06,1,etoposide,1.0,DNA damage
173356,359367,359367,2762,Week6_200607_G02_s1_w13F1006A0-A657-4505-B69A-3408E9C1EF04,16,Week6_200607_G02_s1_w13F1006A0-A657-4505-B69A-3408E9C1EF04_16.npy,6,3321,Week6_200607_G02_s1_w13F1006A0-A657-4505-B69A-3408E9C1EF04.tif,Week6_32161,Week6_200607_G02_s1_w234021B72-03D3-4369-884B-840A97247225.tif,Week6_32161,Week6_200607_G02_s1_w4FB4E3C4C-A95B-420E-B61D-51413F4DD199.tif,Week6_32161,Week6_32161,G02,3,taxol,0.3,Microtubule stabilizers
133707,256888,256888,54,B05_s1_w176DD8ACD-3EBB-482E-8192-F53F1BC084DF,82,B05_s1_w176DD8ACD-3EBB-482E-8192-F53F1BC084DF_82.npy,4,3133,B05_s1_w176DD8ACD-3EBB-482E-8192-F53F1BC084DF.tif,Week4_27821,B05_s1_w2F6073EFA-C34D-4E49-AC38-D5E8C4451F4F.tif,Week4_27821,B05_s1_w44F51A770-2778-432D-B9F8-EE4F88EC5A95.tif,Week4_27821,Week4_27821,B05,2,cyclohexamide,5.0,Protein synthesis
203696,431563,431563,3123,Week7_7__G05_s4_w1DF17E608-3A82-42F9-B6CA-0029BA1F6B3D,117,Week7_7__G05_s4_w1DF17E608-3A82-42F9-B6CA-0029BA1F6B3D_117.npy,7,3336,Week7_7__G05_s4_w1DF17E608-3A82-42F9-B6CA-0029BA1F6B3D.tif,Week7_34681,Week7_7__G05_s4_w2E5FACFFE-38DA-469B-826A-AFEE4C1772D1.tif,Week7_34681,Week7_7__G05_s4_w40F6918C6-7562-45E9-947C-DDC2FADEDA67.tif,Week7_34681,Week7_34681,G05,3,alsterpaullone,3.0,Kinase inhibitors
12512,24234,24234,573,Week10_200907_D05_s3_w1F59497E0-E2CA-4175-8F5C-F154692690E5,81,Week10_200907_D05_s3_w1F59497E0-E2CA-4175-8F5C-F154692690E5_81.npy,0,335,Week10_200907_D05_s3_w1F59497E0-E2CA-4175-8F5C-F154692690E5.tif,Week10_40115,Week10_200907_D05_s3_w2FEF2BA11-FE4B-41DF-ACF2-CD30D4E297DA.tif,Week10_40115,Week10_200907_D05_s3_w4025AA333-0516-4114-A472-9C5070EEE2C2.tif,Week10_40115,Week10_40115,D05,2,AZ-U,3.0,Epithelial
622,2351,2351,461,Week10_200907_C02_s2_w1CBC77452-9C63-4107-A228-E50A0F5D688F,72,Week10_200907_C02_s2_w1CBC77452-9C63-4107-A228-E50A0F5D688F_72.npy,0,42,Week10_200907_C02_s2_w1CBC77452-9C63-4107-A228-E50A0F5D688F.tif,Week10_40111,Week10_200907_C02_s2_w2F8E5F9AF-B46A-42D6-B9E3-850954B5494E.tif,Week10_40111,Week10_200907_C02_s2_w43CD92418-C848-4B13-A1EE-7AAB01982D9D.tif,Week10_40111,Week10_40111,C02,1,DMSO,0.0,DMSO
67728,139497,139497,1495,Week2_180607_G02_s2_w138BCE73F-E8E8-47A9-B560-D1102928D397,23,Week2_180607_G02_s2_w138BCE73F-E8E8-47A9-B560-D1102928D397_23.npy,2,3562,Week2_180607_G02_s2_w138BCE73F-E8E8-47A9-B560-D1102928D397.tif,Week2_24401,Week2_180607_G02_s2_w20E9BCF86-2BFF-4112-88F3-02058DA28D86.tif,Week2_24401,Week2_180607_G02_s2_w4EDD1DF6B-661D-47A7-B70A-9C365028599D.tif,Week2_24401,Week2_24401,G02,3,taxol,0.3,Microtubule stabilizers
200344,426114,426114,3076,Week7_7__F02_s4_w1C5323D7A-979B-4C31-9921-101094F33BB6,2,Week7_7__F02_s4_w1C5323D7A-979B-4C31-9921-101094F33BB6_2.npy,7,3284,Week7_7__F02_s4_w1C5323D7A-979B-4C31-9921-101094F33BB6.tif,Week7_34681,Week7_7__F02_s4_w23FE0F69B-8879-455E-9F15-A45328582FC5.tif,Week7_34681,Week7_7__F02_s4_w458CAC389-988B-4069-959E-DC56BEC9474E.tif,Week7_34681,Week7_34681,F02,3,taxol,0.3,Microtubule stabilizers
13001,24723,24723,579,Week10_200907_D06_s1_w1B8FF3F87-5302-4971-8AE1-6D276ADAC2DD,86,Week10_200907_D06_s1_w1B8FF3F87-5302-4971-8AE1-6D276ADAC2DD_86.npy,0,337,Week10_200907_D06_s1_w1B8FF3F87-5302-4971-8AE1-6D276ADAC2DD.tif,Week10_40115,Week10_200907_D06_s1_w296510F67-68C5-4BAE-8317-BDD0451F0E86.tif,Week10_40115,Week10_200907_D06_s1_w4C2503547-A7D8-4C35-A71F-F3B6BE4D6426.tif,Week10_40115,Week10_40115,D06,2,AZ-U,1.0,Epithelial
53194,101136,101136,944,Week1_150607_E02_s2_w10A97190F-D06F-42BD-9949-8EA89178409E,35,Week1_150607_E02_s2_w10A97190F-D06F-42BD-9949-8EA89178409E_35.npy,1,3482,Week1_150607_E02_s2_w10A97190F-D06F-42BD-9949-8EA89178409E.tif,Week1_22401,Week1_150607_E02_s2_w259B73B70-B83C-42B7-A7F5-A594C03FF082.tif,Week1_22401,Week1_150607_E02_s2_w45664B887-959B-479F-847C-49ABE0338F55.tif,Week1_22401,Week1_22401,E02,3,taxol,0.3,Microtubule stabilizers
132628,254076,254076,406,G07_s4_w117C1B164-CF94-4E93-82DB-A5F1D7F1BC0A,54,G07_s4_w117C1B164-CF94-4E93-82DB-A5F1D7F1BC0A_54.npy,4,3104,G07_s4_w117C1B164-CF94-4E93-82DB-A5F1D7F1BC0A.tif,Week4_27801,G07_s4_w24BE11984-94F9-41B2-A7B9-9625A22A136E.tif,Week4_27801,G07_s4_w477A3DC69-7AAE-401D-A1E5-4FCD53625A45.tif,Week4_27801,Week4_27801,G07,1,mitomycin C,0.1,DNA damage
172821,357886,357886,2607,Week6_200607_C11_s3_w19357A9CA-9915-45A9-8F2E-09B6AE811524,359,Week6_200607_C11_s3_w19357A9CA-9915-45A9-8F2E-09B6AE811524_359.npy,6,3199,Week6_200607_C11_s3_w19357A9CA-9915-45A9-8F2E-09B6AE811524.tif,Week6_32161,Week6_200607_C11_s3_w264515B6E-7F2A-4E88-B10D-7B0F4CF1E4FC.tif,Week6_32161,Week6_200607_C11_s3_w4D47B258C-6757-43A9-80DF-E8AA601FB630.tif,Week6_32161,Week6_32161,C11,3,taxol,0.3,Microtubule stabilizers
144754,276116,276116,373,G05_s1_w18FCA818F-9515-4C93-9E93-05F1C0B55863,76,G05_s1_w18FCA818F-9515-4C93-9E93-05F1C0B55863_76.npy,4,3813,G05_s1_w18FCA818F-9515-4C93-9E93-05F1C0B55863.tif,Week4_27861,G05_s1_w2A7A4518C-171A-452B-9B06-B7F07A317E7E.tif,Week4_27861,G05_s1_w408219BA9-A78C-4629-B211-0DD2A9A4EEAE.tif,Week4_27861,Week4_27861,G05,3,mitomycin C,1.0,DNA damage
50858,96846,96846,739,Week1_150607_B06_s3_w15318BECD-5472-48B0-BCB9-F6B1BAC18BCA,18,Week1_150607_B06_s3_w15318BECD-5472-48B0-BCB9-F6B1BAC18BCA_18.npy,1,3379,Week1_150607_B06_s3_w15318BECD-5472-48B0-BCB9-F6B1BAC18BCA.tif,Week1_22401,Week1_150607_B06_s3_w2DB594EE1-7435-4FA4-AD4C-3E48704F2D58.tif,Week1_22401,Week1_150607_B06_s3_w415E69224-7065-428C-BEF6-72C92CFEF887.tif,Week1_22401,Week1_22401,B06,3,latrunculin B,1.0,Actin disruptors
145664,277026,277026,393,G06_s3_w18CAE09C4-2396-4D79-94CA-A7250E53A43A,127,G06_s3_w18CAE09C4-2396-4D79-94CA-A7250E53A43A_127.npy,4,3819,G06_s3_w18CAE09C4-2396-4D79-94CA-A7250E53A43A.tif,Week4_27861,G06_s3_w22920C895-99B3-449E-A548-A36157500F76.tif,Week4_27861,G06_s3_w414EA28E8-73E7-4575-AD7C-DA80E1CB5608.tif,Week4_27861,Week4_27861,G06,3,mitomycin C,0.3,DNA damage
29811,58140,58140,950,Week1_150607_E02_s3_w12AB366D6-C7A6-45FA-B0F6-A18BA1535801,57,Week1_150607_E02_s3_w12AB366D6-C7A6-45FA-B0F6-A18BA1535801_57.npy,1,363,Week1_150607_E02_s3_w12AB366D6-C7A6-45FA-B0F6-A18BA1535801.tif,Week1_22141,Week1_150607_E02_s3_w20F3DD1C2-B403-4D58-A877-EB35148CA529.tif,Week1_22141,Week1_150607_E02_s3_w4A5D1524E-7228-4B20-A384-045427E01397.tif,Week1_22141,Week1_22141,E02,2,taxol,0.3,Microtubule stabilizers
69396,142514,142514,1670,Week3_290607_B08_s1_w139CA66D0-12A9-4787-82C4-D31A58C0C349,103,Week3_290607_B08_s1_w139CA66D0-12A9-4787-82C4-D31A58C0C349_103.npy,3,25,Week3_290607_B08_s1_w139CA66D0-12A9-4787-82C4-D31A58C0C349.tif,Week3_25421,Week3_290607_B08_s1_w2F4C726BE-92F4-444C-9755-5496690CC8C1.tif,Week3_25421,Week3_290607_B08_s1_w40C40CB71-D789-45C3-B91A-A165FB6F6BD5.tif,Week3_25421,Week3_25421,B08,1,vincristine,0.03,Microtubule destabilizers
93644,179045,179045,1965,Week3_290607_E02_s4_w1BCBF1CAE-9B24-42CA-B925-5F49C6D01C48,5,Week3_290607_E02_s4_w1BCBF1CAE-9B24-42CA-B925-5F49C6D01C48_5.npy,3,604,Week3_290607_E02_s4_w1BCBF1CAE-9B24-42CA-B925-5F49C6D01C48.tif,Week3_25461,Week3_290607_E02_s4_w2F41A0D54-0C95-4031-8786-4EC6D9FDB55A.tif,Week3_25461,Week3_290607_E02_s4_w4DDF5C0E0-2076-4C7D-8C39-A05442687420.tif,Week3_25461,Week3_25461,E02,3,taxol,0.3,Microtubule stabilizers
38426,71797,71797,1127,Week1_150607_G05_s4_w1723064D4-2A5C-4F87-AE20-21086E58F1FF,40,Week1_150607_G05_s4_w1723064D4-2A5C-4F87-AE20-21086E58F1FF_40.npy,1,696,Week1_150607_G05_s4_w1723064D4-2A5C-4F87-AE20-21086E58F1FF.tif,Week1_22161,Week1_150607_G05_s4_w2A055B038-63CC-4F67-A02A-937502D5DBA4.tif,Week1_22161,Week1_150607_G05_s4_w41B7F6732-B3AB-4FAA-B511-47927C060761.tif,Week1_22161,Week1_22161,G05,3,AZ-A,3.0,Aurora kinase inhibitors
184919,385999,385999,3017,Week7_7__D07_s1_w1FCED9764-26CB-47CE-9957-F7A982789582,122,Week7_7__D07_s1_w1FCED9764-26CB-47CE-9957-F7A982789582_122.npy,7,2741,Week7_7__D07_s1_w1FCED9764-26CB-47CE-9957-F7A982789582.tif,Week7_34641,Week7_7__D07_s1_w2E3F703EC-232A-4795-99BD-4E6366C8899A.tif,Week7_34641,Week7_7__D07_s1_w49508A944-E090-4972-B092-A60E2FF8DC94.tif,Week7_34641,Week7_34641,D07,1,proteasome inhibitor I,0.1,Protein degradation
100125,189553,189553,1707,Week3_290607_B11_s1_w1C6A6E12E-199F-4D11-99E0-24E8E05F525E,88,Week3_290607_B11_s1_w1C6A6E12E-199F-4D11-99E0-24E8E05F525E_88.npy,3,2917,Week3_290607_B11_s1_w1C6A6E12E-199F-4D11-99E0-24E8E05F525E.tif,Week3_25681,Week3_290607_B11_s1_w29A3C6EFA-2C2E-4DBE-9D8D-9EA8281C815B.tif,Week3_25681,Week3_290607_B11_s1_w4BDE1A712-4A5F-40C7-B6D1-F7D7AF1DE090.tif,Week3_25681,Week3_25681,B11,1,taxol,0.3,Microtubule stabilizers
161180,315530,315530,2314,Week5_130707_C11_s4_w1CC977738-CF2F-4979-80A6-742E25EEA04A,12,Week5_130707_C11_s4_w1CC977738-CF2F-4979-80A6-742E25EEA04A_12.npy,5,3200,Week5_130707_C11_s4_w1CC977738-CF2F-4979-80A6-742E25EEA04A.tif,Week5_29321,Week5_130707_C11_s4_w2B1DAEDFA-459D-48A3-BF0D-F08BC6168E0C.tif,Week5_29321,Week5_130707_C11_s4_w4286B52C2-64F3-4E00-889E-58E8E87C1295.tif,Week5_29321,Week5_29321,C11,2,taxol,0.3,Microtubule stabilizers
40667,75578,75578,734,Week1_150607_B06_s1_w135206D52-888A-4E3A-8005-FA314DE78C5A,94,Week1_150607_B06_s1_w135206D52-888A-4E3A-8005-FA314DE78C5A_94.npy,1,2897,Week1_150607_B06_s1_w135206D52-888A-4E3A-8005-FA314DE78C5A.tif,Week1_22361,Week1_150607_B06_s1_w2A79960DD-0631-4747-A0D8-DD0B97CEA40C.tif,Week1_22361,Week1_150607_B06_s1_w46685CEAE-C2A1-4173-8778-30C900F3D170.tif,Week1_22361,Week1_22361,B06,1,latrunculin B,1.0,Actin disruptors
193470,407728,407728,3092,Week7_7__F05_s4_w18B8CCDB2-B5C7-44D5-A784-73D071C8FD4F,136,Week7_7__F05_s4_w18B8CCDB2-B5C7-44D5-A784-73D071C8FD4F_136.npy,7,3056,Week7_7__F05_s4_w18B8CCDB2-B5C7-44D5-A784-73D071C8FD4F.tif,Week7_34661,Week7_7__F05_s4_w23514D0CA-62B3-4440-A3A6-AF96BB9C6804.tif,Week7_34661,Week7_7__F05_s4_w4EA90EF97-C8D4-4B10-BF3F-0EB01692897C.tif,Week7_34661,Week7_34661,F05,2,PD-169316,3.0,Kinase inhibitors
221788,476353,476353,3611,Week9_090907_D05_s3_w1C72E3339-8478-45A8-9E97-37500CB69559,89,Week9_090907_D05_s3_w1C72E3339-8478-45A8-9E97-37500CB69559_89.npy,9,2975,Week9_090907_D05_s3_w1C72E3339-8478-45A8-9E97-37500CB69559.tif,Week9_39282,Week9_090907_D05_s3_w2AC822513-42A3-46C0-B184-2D2B3B381943.tif,Week9_39282,Week9_090907_D05_s3_w49D324053-B543-40FC-ACCA-547BD3A07446.tif,Week9_39282,Week9_39282,D05,1,simvastatin,2.0,Cholesterol-lowering
10426,21088,21088,515,Week10_200907_C08_s4_w19DF61E7F-2F93-4123-AC49-AA0817662E29,1,Week10_200907_C08_s4_w19DF61E7F-2F93-4123-AC49-AA0817662E29_1.npy,0,308,Week10_200907_C08_s4_w19DF61E7F-2F93-4123-AC49-AA0817662E29.tif,Week10_40115,Week10_200907_C08_s4_w289C71D14-427E-47CB-839F-4E1E821E7E36.tif,Week10_40115,Week10_200907_C08_s4_w4BB97C522-15B3-4CA2-B6E1-3400F60F74E4.tif,Week10_40115,Week10_40115,C08,2,AZ138,0.1,Eg5 inhibitors
158433,305787,305787,2187,Week5_130707_B02_s1_w138CA85E9-053C-4F8A-A075-E0CF99C09D2B,130,Week5_130707_B02_s1_w138CA85E9-053C-4F8A-A075-E0CF99C09D2B_130.npy,5,2881,Week5_130707_B02_s1_w138CA85E9-053C-4F8A-A075-E0CF99C09D2B.tif,Week5_29301,Week5_130707_B02_s1_w2BCEFEE59-D162-4625-84FE-77787B101A48.tif,Week5_29301,Week5_130707_B02_s1_w41F462808-811E-42A3-A576-B94E803C22DF.tif,Week5_29301,Week5_29301,B02,1,DMSO,0.0,DMSO
84299,164485,164485,1994,Week3_290607_E07_s1_w1B338F8FD-7929-4277-BD13-E8F52D6462E7,66,Week3_290607_E07_s1_w1B338F8FD-7929-4277-BD13-E8F52D6462E7_66.npy,3,381,Week3_290607_E07_s1_w1B338F8FD-7929-4277-BD13-E8F52D6462E7.tif,Week3_25441,Week3_290607_E07_s1_w211D8BC28-484C-4774-8275-18FD1CE20530.tif,Week3_25441,Week3_290607_E07_s1_w40E6FB23E-0D2A-4FA8-AB6F-2CEA512349A0.tif,Week3_25441,Week3_25441,E07,2,AZ841,0.3,Aurora kinase inhibitors
174622,362753,362753,2851,Week7_230707_C06_s3_w1A1424BD1-A398-4098-A891-F73D01843F02,21,Week7_230707_C06_s3_w1A1424BD1-A398-4098-A891-F73D01843F02_21.npy,7,59,Week7_230707_C06_s3_w1A1424BD1-A398-4098-A891-F73D01843F02.tif,Week7_34341,Week7_230707_C06_s3_w2BE13C25F-04A4-4BAB-92A4-DB9BD06C9EFB.tif,Week7_34341,Week7_230707_C06_s3_w4950415C9-6F3B-432E-A24C-90891C13AB0A.tif,Week7_34341,Week7_34341,C06,1,docetaxel,0.03,Microtubule stabilizers
151419,288340,288340,2223,Week5_130707_B04_s1_w1C4182A0A-BA2D-4F7A-BD72-FB3BB927E8A1,300,Week5_130707_B04_s1_w1C4182A0A-BA2D-4F7A-BD72-FB3BB927E8A1_300.npy,5,249,Week5_130707_B04_s1_w1C4182A0A-BA2D-4F7A-BD72-FB3BB927E8A1.tif,Week5_28921,Week5_130707_B04_s1_w2D26B6982-F626-4806-A649-DA071802969E.tif,Week5_28921,Week5_130707_B04_s1_w4BA04F774-FCB3-449C-BC76-9374D11AAACF.tif,Week5_28921,Week5_28921,B04,2,AZ-J,3.0,Epithelial
